DOEID,BA_climate_grp,efficiency_class,NWEIGHT,TOTALDOL,pred_TOTALDOL,top5_annual_savings,savings_share_of_bill
100944,Mixed-Humid,efficient,2918.8110465,1939.29,1825.8564519161885,345.76682140083597,0.1782955728131615
100953,Cold,efficient,5881.8060801,1583.4,2004.1843533492963,283.8096676788433,0.17924066419025092
100960,Mixed-Humid,efficient,7700.2457505,2652.64,2886.368946769545,1180.7339710834667,0.4451165522209824
100962,Cold,inefficient,6106.237454,1933.27,1634.0097364631442,540.1046186296485,0.2793736098060015
100985,Cold,inefficient,2392.66614,2113.9,1848.926047538176,420.83550715725494,0.19908013962687682
100989,Very-Cold,average,793.03265106,4063.65,3480.904394068053,1390.8827641203784,0.34227425199522066
100991,Cold,efficient,3517.2335301,2494.48,3806.997652947081,372.444880126426,0.14930762328277877
101002,Mixed-Humid,average,12490.667267,963.94,1064.7001288557865,84.51813224550683,0.08767986829627034
101005,Mixed-Humid,efficient,3649.1387682,2423.96,2602.7905134177645,895.427891847278,0.3694070413073145
101016,Cold,inefficient,12670.527455,1175.64,1242.4230737230257,134.99427111820262,0.11482619774608095
101021,Marine,efficient,5035.6845889,1179.51,1459.3437130755508,245.02311523589287,0.2077329698229713
101032,Cold,efficient,2193.6930785,1884.27,2180.240039957254,466.3963712919477,0.24752098759304542
101039,Mixed-Humid,average,9784.2109183,2055.31,2326.7121990812925,756.3515859086277,0.3679987865132889
101042,Hot-Humid,average,7847.7270944,2447.84,3195.4215873435546,627.2222823071736,0.2562349999620782
101049,Hot-Dry,inefficient,8389.7139266,2453.16,2053.672653810122,873.1224435124293,0.35591744668608216
101050,Hot-Dry,inefficient,4508.9251989,2702.94,2111.256925677561,344.62002637152455,0.1274982154141507
101057,Hot-Dry,average,4917.0401989,1841.03,1882.7058527358215,425.6964400228521,0.2312273238474398
101063,Hot-Humid,inefficient,16064.853086,1826.05,1469.4822716209385,157.98355450319934,0.08651655458678532
101064,Cold,average,5717.6724049,860.07,1182.8845929674649,225.67384819241113,0.26239009405328767
101068,Mixed-Humid,average,8200.1372249,2395.21,2186.3566147643223,956.2989128598979,0.39925472624943026
101074,Mixed-Humid,efficient,5800.2807475,1665.79,4007.7922954525466,491.0536241617202,0.29478723258136996
101075,Mixed-Humid,inefficient,11528.581755,1060.38,756.396382086729,300.271807756988,0.28317377520981907
101076,Hot-Humid,average,12528.591928,1302.49,1221.9525711603214,277.99579026026424,0.21343410717952863
101078,Mixed-Humid,average,1714.8696528,848.55,1073.1561568280842,119.09942829853414,0.1403564059849557
101079,Cold,inefficient,2034.3154931,3795.45,4128.966866622091,1279.808635336332,0.3371954933766304
101083,Mixed-Humid,average,4644.9797765,2416.52,2258.4235043860954,619.1451622823566,0.256213547697663
101092,Hot-Humid,inefficient,10415.746285,3074.87,1813.2104734308505,284.51128572835864,0.0925279071077342
101099,Cold,inefficient,8469.2739226,2041.53,1990.1614956479257,745.1216368049079,0.36498196784025116
101102,Hot-Humid,efficient,6291.6537036,922.12,1160.9020716020118,176.86356395234088,0.19180102801407722
101106,Mixed-Humid,inefficient,7829.1435947,1711.89,1406.737855151265,264.0811778123276,0.15426293617716536
101107,Cold,inefficient,3133.3281032,2620.97,1762.7714403751609,906.7726630977297,0.34596834877840255
101125,Marine,inefficient,6140.6889661,1337.27,1077.0424618768702,299.023689597955,0.22360756586026384
101130,Cold,inefficient,12461.914167,895.03,1656.9374656735504,286.1851680440224,0.31974924644316105
101132,Mixed-Humid,inefficient,9660.0841282,2155.61,1754.188742880156,223.24883926079823,0.1035664332883955
101133,Hot-Humid,average,8488.8865639,1759.64,1895.5587177970697,686.3159077230088,0.39003199956980333
101134,Cold,efficient,1999.3902026,2737.18,2861.1035494749767,303.4282362808171,0.11085432316501549
101139,Hot-Humid,inefficient,5711.8868693,818.97,1591.8341477831834,369.1032498338925,0.4506920275881809
101140,Cold,average,7953.9765644,1718.72,1917.878397481658,306.8928032777714,0.17855892948110885
101142,Cold,efficient,5883.010282,1600.84,1674.6868061154637,646.7263613624315,0.4039918801144596
101150,Cold,average,11318.300587,1547.63,1681.159679290164,338.8991186277636,0.21897941925897246
101156,Hot-Humid,average,4915.827279,1024.25,1325.457948561388,211.96739158197622,0.20694888121257135
101164,Hot-Humid,inefficient,2003.4842648,4069.98,1318.0885389965963,157.00001835712033,0.03857513264367892
101166,Mixed-Humid,inefficient,12963.89899,1730.31,1960.3422762804944,334.77972587255556,0.19347962265290936
101173,Mixed-Humid,efficient,4847.1298207,1645.01,1936.7094019463711,346.2536806827496,0.21048728012762816
101183,Mixed-Humid,inefficient,12531.086253,3214.76,2312.7319692814667,290.59370692205005,0.09039359296558687
101192,Cold,efficient,4558.6408996,1260.84,1963.1573438446549,266.9284873351378,0.2117068679095982
101196,Cold,inefficient,3944.2532293,2641.32,1672.1572045100102,478.72330227814234,0.18124396221515846
101202,Hot-Dry,inefficient,4348.7106101,2057.37,1825.6702413950445,420.7248620347806,0.20449645033940447
101206,Cold,inefficient,2533.3198131,2371.53,2488.573441903677,663.3775220023017,0.27972554511319764
101207,Hot-Dry,average,3943.4955502,2227.75,2004.9997588257172,522.6913813464141,0.23462748573512024
101214,Cold,average,7285.7590366,3045.15,2550.0562956352464,578.8653075376837,0.19009418502789147
101227,Cold,inefficient,1131.282266,2874.3,1964.64602712465,543.293858381725,0.18901779855329123
101229,Cold,average,3200.4120531,1962.61,2097.0407066848434,518.5853805836243,0.2642325172008827
101231,Cold,average,4213.0548953,4710.73,5745.942129775711,862.9214359346146,0.1831821046705319
101257,Mixed-Humid,average,8318.0386742,1754.86,2152.4254146872536,311.4777045517004,0.17749433262579375
101266,Mixed-Humid,efficient,5472.5531617,1793.26,2076.4408464500148,374.66457759911003,0.20892931175574653
101268,Cold,efficient,7472.3788092,115.92,225.92533672101675,0.0,0.0
101289,Mixed-Humid,average,2329.4742188,1248.49,1580.4607331470424,189.4180578486761,0.1517177212862547
101303,Very-Cold,efficient,6825.6430561,1729.69,2033.312188232317,379.8170510252595,0.2195867762577453
101308,Mixed-Humid,average,6615.4902899,974.68,1236.3857773873017,79.97853898808839,0.08205620202331883
101311,Mixed-Humid,average,8846.9318067,1347.24,1815.4272252330193,492.04306788431626,0.3652230247649389
101316,Cold,inefficient,3270.9324953,1463.58,1598.046861617359,270.83905348699204,0.18505244229013246
101318,Cold,efficient,10952.510612,255.25,835.2171144062416,37.51666859406905,0.1469800924351383
101330,Hot-Dry,average,12800.032812,1244.74,1400.383527184786,416.83085620132715,0.3348738340547642
101335,Mixed-Humid,efficient,9491.2541245,1014.28,1530.8686044034678,191.32498752577214,0.1886313321033365
101338,Cold,efficient,5504.2315458,1427.83,1841.306959523253,253.22599361839747,0.17735024030759788
101343,Hot-Dry,inefficient,19224.109469,555.66,410.5727782085082,215.766152204639,0.38830607242673404
101344,Very-Cold,inefficient,7039.305194,2556.14,2522.8090825373374,299.62748978135795,0.11721873206528514
101346,Mixed-Humid,average,13785.376491,1232.02,1165.4573877653756,239.24251345248746,0.19418719943871646
101349,Cold,average,15622.303131,1604.65,1652.8645683999928,498.4529044060041,0.31063029595613006
101350,Marine,average,4985.1078059,1513.07,2025.7647162958017,372.30556035395693,0.2460597066586192
101351,Marine,average,6536.9585598,2274.47,2662.8495216727215,708.8058060440874,0.3116355924870794
101359,Hot-Humid,efficient,10037.511135,1676.92,2168.3483059081263,395.09630344950915,0.2356083196869911
101376,Mixed-Humid,inefficient,11431.349807,3504.16,2181.2387753718986,536.9619595885913,0.1532355713176885
101380,Hot-Humid,average,15075.746661,1332.75,1401.300112272201,185.54159829522044,0.1392171062053802
101385,Hot-Dry,inefficient,7766.374332,1031.4,835.3369736957748,187.03533744684208,0.18134122304328298
101389,Hot-Dry,inefficient,5066.7089556,1947.19,1995.9309676350465,437.7649599169288,0.2248188209249887
101392,Cold,average,8631.0695637,579.36,874.7792874619162,116.00869752125577,0.20023594573539039
101399,Mixed-Humid,average,5413.3751649,2525.03,2159.6259037321925,453.7873334827116,0.179715620599641
101401,Hot-Humid,inefficient,5278.0975386,2363.54,1787.109692099829,687.4061593537338,0.2908375400262884
101402,Mixed-Humid,average,10320.719518,1372.08,1681.5526146374934,300.2782031737586,0.21884890325182102
101405,Cold,efficient,7127.3762918,982.43,1493.2744762677985,161.36859599702393,0.16425454841263393
101409,Mixed-Humid,efficient,5335.661356,2732.58,2817.1230503804863,682.6568559378957,0.24982136147446576
101411,Mixed-Humid,efficient,5527.033922,1848.13,1697.8820326223083,461.06053495979427,0.24947408188806752
101412,Mixed-Humid,efficient,14584.031791,785.22,1563.8944518354017,192.2231896546146,0.244801698447078
101419,Mixed-Humid,average,5691.4431166,1881.8,1970.0441672281931,390.08816074896345,0.20729522837122089
101440,Cold,average,3627.1957933,2013.82,2056.4084470900784,463.9794860209181,0.23039769493843448
101442,Mixed-Humid,efficient,7167.4523249,3271.99,3697.624343522472,1295.5678297716047,0.39595714833223966
101446,Cold,average,7649.8546967,1827.25,1965.3374293495565,410.23020538762734,0.22450688487488157
101460,Hot-Dry,inefficient,9873.171141,5279.27,2179.9016974092688,1065.538523140622,0.20183444361448113
101462,Mixed-Humid,efficient,4405.3889405,1066.48,1580.2590922013278,230.23482964784392,0.21588293230800756
101472,Mixed-Humid,efficient,2995.028447,831.69,1138.1418434005811,159.28359292362444,0.19151798497471947
101485,Cold,average,5826.2082791,2423.4,2378.6938642211576,544.1549354200304,0.22454193918462917
101487,Cold,inefficient,6314.0150828,1511.83,1610.372783900763,401.374974904585,0.265489489495899
101495,Hot-Humid,efficient,7339.4187212,2908.61,2678.3382191458186,460.6128798115898,0.15836185662965807
101498,Cold,efficient,5350.0213072,2182.45,1924.240220593488,454.98695346756,0.2084753160290316
101500,Hot-Dry,efficient,4528.4871392,1470.49,1875.9119320732173,409.7972085464737,0.2786807176835434
101502,Cold,average,4516.9160209,1647.25,1601.9969202898335,255.43874600281617,0.1550698108986591
101503,Mixed-Dry,inefficient,4832.1672851,2091.26,1654.3268137077312,782.3368684655036,0.3740983275467917
101508,Cold,average,8804.0757026,380.73,514.8751313161333,46.46001182003864,0.1220287653193566
101512,Mixed-Humid,inefficient,4455.9771729,1659.96,1587.7346658466429,264.0136452322122,0.1590481970843949
101513,Cold,average,3833.89593,2957.6,2895.0018901643543,569.5652282245065,0.19257682858551073
101518,Mixed-Humid,inefficient,10597.791207,1832.13,1554.1025330146829,490.2938560962465,0.26760866100999736
